wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0x1a8D340A41599bCd5737eeE8752afFa78Fa993a7,1,0.459985,0.853806,0.841931,0.842516,0.753694,0.990562,0.387651,0.270236,153,4,1
0x3B6AeE126473eCF13b83B530a518a649EAe95644,1,0.6,0,0,0.211284,0.53271,0.997223,0,0.511405,57,0,0
0xaf0B5f833DDE334F2025c65Ff4919039Fbe0BFa5,1,0.6,0,0,0.503234,0.038461,0.034376,0,0.449771,2,0,0
0xa31E78358C267Cc1041A68fbC7EE7ede04e82ee2,1,0.6,0,0,0.86932,0.056603,0,0.001996,0.530312,3,0,2
0x2D7a7ff4Cd77ac2B86CF47E87908CAf88aCF4142,1,0.6,0,0,0.406456,0.056603,0.056247,0.129677,0.419078,3,0,1
0x12659375dd68E99bbfa326390fe3Eb5f2778B72b,1,0.6,0,0,0.799386,0.166666,0.124649,0,0.535292,10,0,0
0x8421f3EaAbc4151cf0A8E80586990f05D162db33,1,0.6,0,0,0.267654,0.122807,0.218261,0.511957,0.371797,7,0,1
0x48fd1f7f10b1B3b4c742Cb1c3408FA9110DC6c88,1,0.6,0,0,0.511729,0.074074,0.094366,0,0.459964,4,0,0
0x6E9833371dd95Ec2f3e05a57208e67A96D8591D7,1,0.6,0,0,0.801317,0.090909,0.056781,0.132697,0.509948,5,0,1
0x7D58e4139Ee8B83C6a8ad703b479A22303a0773E,1,0.6,0,0,0.878439,0.019607,0.000199,0.000999,0.529248,1,0,1
0x67002ad6c55FcAC1526909dB1483732c8c696f78,1,0.6,0,0,0.873246,0.019607,0.000199,0.000999,0.528083,1,0,1
0x613E0379CDbAC8f56C86D9fE92D722615EdF36Ad,1,0.6,0,0,0.768378,0.21875,0.254843,0,0.544208,14,0,0
0x4D63313fc683BCb39d75A53Fa9409e2732360B9b,1,0.6,0,0,0.830299,0.019607,0,0.000999,0.518424,1,0,1
0x7A0484544dBAB22C3c6262A35d729dC9d7c006bA,1,0.843355,0.317902,0,0.803111,0.444444,0.951065,0.73998,0.806471,40,4,1
0x93614117cC5655873967783b184C93cd7AD74bB3,1,0.370852,0.504668,0.541898,0.825785,0.853372,0.860467,0.224313,0.286424,291,4,2
0xe0C0B494071eBbC0856C75004c8bD7FAb0c5Ee70,1,0.6,0,0,0.630895,0.166666,0.020568,0,0.488337,10,0,0
0x2A6768c228f276898B2Bc8648A5Ed59A6D57b3a8,1,0.205064,0.537771,0.634888,0.749225,0.137931,0.82139,0,0.131778,8,2,0
0xE44e1edB967c0B5CBE08356D2F31751DE61F3E83,1,0.6,0,0,0.778853,0.107142,0.041594,0,0.518247,6,0,0
0x14f2042Df73EFbfAC9cF6C3cDFc6d269429f153c,1,0.6,0,0,0.878448,0.038461,0,0.000999,0.530876,2,0,1
0xFF42A476DC28d2CdAb279cF9Bb52C3bC6ce1407C,1,0.6,0,0,0.867631,0.038461,0,0.000999,0.528451,2,0,1
0x2C82237F00BA7fe67f89e6207BA5B899DAD38A5b,1,0.6,0,0,0.68028,0.038461,0,0.001996,0.486233,2,0,2
0x92bbF680E4C1557e888a5f51bcD02749a2Df6F3B,1,0.596027,0.001995,0.003321,0.874584,0.122807,0.000599,0.001996,0.532644,7,1,2
0x2F75e6B13A675b89BD5D18392c883d337e216e0C,1,0.6,0,0,0.767883,0.137931,0.019992,0,0.516585,8,0,0
0xE32f2f479f92786db4189BAd0eE441eab62F67CC,1,0.348855,0.358266,0.422445,0.862263,0.744897,0.594517,0,0.294954,146,4,0
0x973a114582Ac70ee5Ec845Eee0f7292d9ce7F3bD,1,0.731589,0.134926,0.003962,0.754546,0.230769,0.686284,0,0.712231,15,2,0
0xbC0c4Fc7747d75c24d5fB9A2360Db31DB73AcBc8,1,0.6,0,0,0.864607,0.019607,0,0.000999,0.526128,1,0,1
0xEB9A62158E87353b09D4C23e7841Fd7Ad6Dd3C9d,1,0.6,0,0,0.499502,0.038461,0.058912,0,0.451066,2,0,0
0xe6416d487bC7E90EB65eC3d9EC6fF5A75e01e649,1,0.063333,0.717681,0.809044,0.684148,0.152542,0.949694,0,0.071336,9,1,0
0x27Ef4B37399Ae2B1b9371fA7e80D928b23385541,1,0.6,0,0,0.878372,0.019607,0,0.000999,0.529215,1,0,1
0x7Ec50CD5ca92C6ec6695B7aDA587B436c67Ec2F4,1,0.6,0,0,0.886872,0.019607,0.000199,0.000999,0.531138,1,0,1
0x9606b69E4d92DeFdd98C6567C3ACD6b2CC62bFb1,1,0.6,0,0,0.511112,0.166666,0.595828,0.87308,0.424982,10,0,1
0x56791fed32d352f14F94B4659FD9E13E10b61bf7,1,0.523198,0.042179,0.068377,0.785271,0.137931,0.083745,0,0.434287,8,2,0
0xACB5Ab905fe42a283F8F8Ef59C1856884BD769f0,1,0.594865,0.002582,0.004297,0.850896,0.137931,0.079359,0,0.534348,8,2,0
0x0761E8442D44711D6AA708d04F47268bF4e69a0C,1,0.6,0,0,0.576505,0.019607,0.857138,0.96774,0.439947,1,0,1
0x4Fd7654d872935593C6eE115287c10253D3735f5,1,0.638859,0.031271,0,0.708799,0.056603,0.072011,0.121757,0.529772,3,1,1
0xD4F5fBbecC330db0b2668E583073ED12f883EB80,1,0.173709,0.77315,0.830702,0.562624,0.848024,0.980022,0.525156,0.094256,279,3,1
0x49d7fe957aBF04270835C420f3034674160c5145,1,0.6,0,0,0.878455,0.038461,0,0.000999,0.530878,2,0,1
0xF2EF0BBF051f6eD4099874059C5e5311D9Fb5D7E,1,0.6,0,0,0.772462,0.193548,0.154405,0,0.534196,12,0,0
0xdc313ac7998a303d11aCaFF5c43624f3B1b8A61A,1,0.217948,0.344641,0.467084,0.696459,0.39759,0.486442,0.137187,0.143367,33,1,1
0x9c0d11292990c27512C3Cb2b9B71d0544bDE06C3,1,0.6,0,0,0.724335,0.090909,0.280161,0.591503,0.466345,5,0,2
0xEda2c289b0f307473F39959b0B0ec295381119B6,1,0.6,0,0,0.497128,0.038461,0.017102,0,0.446917,2,0,0
