wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0xC04b02292767558b15eDe50b735c4Dd90620EA6e,1,0.6,0,0,0.587096,0.090909,0.042879,0.091734,0.498637,5,0,1
0xffA2bd2BF9BFEBba160670580Cc8FC9E85f67513,1,0.6,0,0,0.071334,0.206349,0.872073,0.956014,0.46371,13,0,1
0x2a442cD32E9265857B80C1D50224c2cB31ae7264,1,0.322437,0.205244,0.300901,0.714917,0.333333,0.456167,0.473684,0.322405,25,1,1
0xE06ea057Ba86179Bd1138F8C7f71E0a89B3ec9B8,1,0.677176,0.06692,0,0.728394,0.275362,0.582811,0.599411,0.654516,19,1,1
0x1889aaAC3BDe2Ea77E4423b3d0d696eC53f821D3,1,0.974394,0.814347,0,0.541421,0.76415,0.962383,0.411082,0.971741,162,7,1
0xf97E7B884A8B69D7174139a4dCAB0A6284855d4C,1,0.6,0,0,0.55759,0.056603,0.462192,0.811285,0.479281,3,0,1
0x450752e8C50A35354cEde46Ff9101898Dd1AefD2,1,0.6,0,0,0.639739,0.285714,0.94157,0.987344,0.581576,20,0,2
0x24bC5AC63626E235D099Ba40E68E161cfa5dF382,1,0.6,0,0,0.254754,0.056603,0.037906,0.155405,0.428707,3,0,1
0xA2685fEF11ED9074103D839D6E8F0FaBEDe5742F,1,0.808184,0.245625,0,0.732219,0.514563,0.918857,0.4932,0.848763,53,1,2
0xa700A0E2c5c29314E85457B9B6b4b494b0C526cC,1,0.84651,0.32515,0,0.397839,0.242424,0.76729,0.593232,0.812794,16,1,1
0x76C54dE875eB44F735331B31b59AcFBa2c7a5A0C,1,0.6,0,0,0.582236,0.019607,0.014584,0.068901,0.485135,1,0,1
0xfdA6f7aD3eCdfe18AA5f22cB55867e9BD5EA5Dd3,1,0.415667,0.117417,0.181489,0.519421,0.056603,0.121574,0,0.335949,3,1,0
0xB54c49284d227ABaFA62eCeF214bd6b058Ad50f1,1,0.6,0,0,0.173754,0.019607,0.004182,0.020568,0.417675,1,0,1
0x447024B90D9cdcd3A33C05b4512490a823e85ebf,1,0.6,0,0,0.177759,0.019607,0.004975,0.02439,0.418101,1,0,1
0xa14dd0D228D0f288e8924d70DD5211961930337F,1,0.571129,0.458462,0.382551,0.7659,0.590163,0.966313,0.003998,0.681524,72,3,1
0xA4A3b082c17b15C9EEe90b3aF70e7E7922A86e0B,1,0.6,0,0,0.056912,0.019607,0.941175,0.987654,0.440594,1,0,1
0x89d040dD8369c615A7CA1F47914BF95c809bF0ce,1,0.6,0,0,0.706486,0.21875,0.937919,0.984902,0.582873,14,0,1
0x0404c6FDB565dFAdaE1f38AF03706F5C1c90BDE7,1,0.6,0,0,0.120256,0.253731,0.201022,0.407231,0.433924,17,0,1
0xfC52926BbF7309a7fDae8b561E8C541b5D83c487,1,0.685214,0.334434,0.181009,0.598709,0.914821,0.846945,0.492428,0.765602,537,4,2
0xd9ECAedC276b363a70E1Ac4FaF156cb5fD8121D5,1,0.6,0,0,0.613817,0.019607,0.047437,0.199359,0.482547,1,0,1
0xeB5F6D9cBbb5f98b65CCc3958b659D2841b3Ca2F,1,0.09461,0.61576,0.727587,0.75097,0.264705,0.939354,0.980563,0.172002,18,1,1
0x1c916dE24A80546e04bBc5478D0B72CD6c70C23f,1,0.6,0,0,0.693998,0.019607,0,0.000999,0.509289,1,0,1
0xF5D4c7C3949d3369dC7B6ac0CD7F21878F38a7eb,1,0.6,0,0,0.306256,0.056603,0.002195,0.004975,0.447116,3,0,1
0x9dDcF4FA7525D073B3DF66C84E3607E3F5f6e8CF,1,0.6,0,0,0.602531,0.090909,0.356167,0.684243,0.489082,5,0,1
0x21C62a3606A99BA32b91b3d1CB8dc5183D53B8aF,1,0.6,0,0,0.875099,0.253731,0.646468,0,0.666564,17,0,0
0x5ccF4a79F3068B5e5E2F3F897610497352a50E17,1,0.598598,0.003147,0.002805,0.856178,0.137931,0.015554,0,0.556458,8,2,0
0x93C3a14Eb609B29fd1bD410ec0Cb60498C3EE602,1,0.277808,0.25812,0.36704,0.747018,0.137931,0.444197,0,0.301679,8,2,0
0x103D5d562D9A094ec013D1539d78F39d5b2527b9,1,0.850916,0.335512,0,0.264712,0.206349,0.538958,0.335788,0.794731,13,1,1
0x6a83d2Aa568052AC78D76691c78cB38841dcC296,1,0.941608,0.637034,0,0.762622,0.606299,0.98341,0.166178,0.96094,77,1,1
0x28bc371c773FDAEA0cCbf9742205f8711d880525,1,0.468314,0.641884,0.623233,0.753774,0.725274,0.925184,0.548884,0.502888,132,7,2
0x70F7D15fd9F56350B0354B7502F2482a51F02c52,1,0.878453,0.407328,0,0.293856,0.122807,0.833316,0.529415,0.839564,7,1,1
0x1ab8C416D4abE3253e56B319818D7d6b61c933B0,1,0.597667,0.001169,0.001947,0.84116,0.038461,0.000399,0,0.535888,2,1,0
0x27cFf1ca51FcE6765b8206D2085F1280d26aA188,1,0.6,0,0,0.717145,0.166666,0.079698,0.284692,0.518976,10,0,1
0xA687580658d2400e6D847fe93721246616ab0c3c,1,0.6,0,0,0.026948,0.056603,0.24778,0.622499,0.375779,3,0,1
0x19dd9792b27D6A0de1A86399b32cec671b10dD41,1,0.6,0,0,0.599699,0.090909,0.620378,0.890996,0.50754,5,0,2
0xffF68a87B36fB5634456346Cb39256F13cA97a21,1,0.231666,0.322942,0.442886,0.877467,0.264705,0.628031,0,0.320231,18,2,0
0xD204B83ce5F676598c2c746Bb00C23ED9E129545,1,0.869282,0.381956,0,0.840771,0.632352,0.980006,0.937661,0.899114,86,1,1
0x6A8835C2eff93de722c676420Ce41Ff9913a44f2,1,0.6,0,0,0.601526,0.090909,0.242079,0.476165,0.4926,5,0,1
0x17eA2684AC5d1a177E8C93d37500eC5270f5791e,1,0.6,0,0,0.505454,0.230769,0.745767,0.857468,0.534134,15,0,1
0x54Eb9Abc93a53fF69E895A9379ef84DdB7596DAB,1,0.429025,0.106788,0.166152,0.763088,0.494949,0.158674,0.047619,0.452116,49,29,1
0xeE5793A380795Ea69AdA27c6b2229010b4a0d2F6,1,0.6,0,0,0.0209,0.056603,0.657487,0.905651,0.406326,3,0,2
0x2835540068125dC9BCeb9C94dDec80DEE380e4a3,1,0.645435,0.319204,0.202778,0.81383,0.484536,0.852459,0,0.74772,47,5,0
0xdCD4EA21bb684d2283C177595fCEcA61167A357F,1,0.625026,0.019629,0,0.722968,0.090909,0.097309,0.324236,0.531442,5,1,1
0xC5a2E65a9e056AA3E29C19071B57Ff1B2c78F62b,1,0.6,0,0,0.234211,0.038461,0.016328,0.076638,0.427066,2,0,2
0xeE11722D793c069dDa36097f9e20739f6cA5AC62,1,0.749639,0.152045,0,0.781515,0.50495,0.471737,0.406818,0.764006,51,1,1
0x465D847d32f94D8d423c3E8381Dd6eC2cf8BAf61,1,0.115811,0.556392,0.676418,0.697989,0.450549,0.746976,0,0.240611,41,2,0
0x9dfD0Bd438A1dbD8317BeBD43156e5fCFf9bd47E,1,0.218531,0.554289,0.644187,0.793131,0.823321,0.885001,0.065904,0.377565,233,3,2
0x28Ca7f837EfFe3abA976B3e7f3501118ACA07536,1,0.6,0,0,0.720855,0.122807,0.606206,0.807655,0.539652,7,0,1
0x07756F3D2317B36048102c4485Cd68cf3E3f0f7F,1,0.696398,0.08697,0,0.679789,0.152542,0.06542,0.078609,0.626156,9,1,1
0xc098E15c3Cf64F19e2b702A61eE289b761Aa06E9,1,0.677343,0.067087,0,0.713032,0.038461,0.039938,0,0.598887,2,1,0
0x096c11eB6d28b203d89A5EC45C3C89076fa43b77,1,0.454129,0.087892,0.138379,0.59726,0.074074,0.038276,0,0.373728,4,1,0
0x10b0000Bb4B7a07ab03f2d1da71A505B41F2BFB5,1,0.6,0,0,0.072954,0.019607,0,0.000999,0.401898,1,0,1
0x59d4Be956a4D81e710444b32D10ac303577e7178,1,0.6,0,0,0.590859,0.019607,0,0.000999,0.491243,1,0,1
0x4acd83FdEe93bE3cd84748595624855F85BE5145,1,0.6,0,0,0.672268,0.642857,0.504999,0.838004,0.590032,90,0,2
0xB48365dBF99735255d196ba8F2d8320dA519826d,1,0.6,0,0,0.753219,0.074074,0.007739,0,0.529052,4,0,0
0x2e14bFdc26209761C7fd045BF60770e3cfC4cdaF,1,0.955387,0.704997,0,0.397843,0.375,0.965791,0.487803,0.946118,30,2,1
0xe30d89E3B71270691d62c014BD64C756Fe318777,1,0.511997,0.049035,0.079139,0.679695,0.382716,0.028937,0.02629,0.482672,31,1,1
0x67FDD7770A6E268B34ABe6A6E6FC5B4d511b2fB0,1,0.6,0,0,0.179572,0.122807,0.848466,0.909082,0.47124,7,0,1
0xBCC6314E015BB71F6b35D36742E230bDB96F912A,1,0.6,0,0,0.047101,0.019607,0.001796,0.008919,0.397055,1,0,1
0x5c23611C7EcDc2F1F7e48d91B6a92002A7ba87C1,1,0.7054,0.096929,0,0.41865,0.152542,0.304976,0.542715,0.582504,9,1,2
0x682F341c239e58946679a91d87d37AdD877E92e1,1,0.6,0,0,0.206704,0.137931,0.647738,0.885386,0.450647,8,0,1
0x79d5BEeb0B1733996552e2508a83A19D3f82ac00,1,0.395676,0.164677,0.231197,0.656868,0.350649,0.103621,0,0.374411,27,5,0
0x18FE5d4Ab72b1f635A86615B3C8d5d0C0ee2A284,1,0.611033,0.169054,0.112195,0.749906,0.739583,0.917514,0.96892,0.673166,142,4,2
0x9E7638bF4eF1FFc05C653399AB418c8ce6bfE153,1,0.6,0,0,0.218012,0.019607,0.005766,0.028182,0.424718,1,0,1
0xe35Ca7bA2bE5548065BDdb374E02E0410C2E7344,1,0.6,0,0,0.177939,0.019607,0.00438,0.021526,0.418324,1,0,1
0x7fc3463E748a2781839f4fdE1EeDFe3948093B54,1,0.6,0,0,0.069802,0.056603,0.011857,0.038461,0.404814,3,0,1
0xb7C1763BDA0051F39373382274fA824ABe7328Ae,1,0.6,0,0,0.726965,0.778761,0.896289,0.863797,0.670044,176,0,1
0x1DB3c25C262d3326D0a5A16486873FD1DBD4Ec6E,1,0.555156,0.023659,0.03882,0.752015,0.305555,0.038091,0,0.527639,22,2,0
0xD54DaA05976cD37816868Fe800a4DB5D99DDD22C,1,0.98424,0.879728,0,0.505169,0.942987,0.997167,0.289956,0.97959,827,7,2
0x0a65BBECe3910d919424A289A40224C92555Eb22,1,0.6,0,0,0.530018,0.038461,0,0.001996,0.483329,2,0,2
0xD2a0Ab0439Be3919E68D764ea7831f39CcE992D9,1,0.6,0,0,0.430117,0.056603,0.665372,0.908617,0.47772,3,0,2
0x3ddA93E5F5013573AF434cb3dF813958301e72A6,1,0.6,0,0,0.126162,0.038461,0.001198,0.006951,0.41322,2,0,1
0xFF76d3D35a8795f9fC8E8C1cA506BDbF1B85fBb4,1,0.607403,0.477969,0.373196,0.349828,0.404761,0.522946,0,0.560774,34,4,0
0xd3AdC2F41D5e4178752DaAba267b17F9aBB5bC85,1,0.6,0,0,0.704011,0.038461,0.001597,0,0.514206,2,0,0
0xB5aAcabc21437FE95352d0D55168D49CFAd6745d,1,0.6,0,0,0.603466,0.038461,0.431753,0.784389,0.482707,2,0,1
0xf55e25590BdD87D591Cb6256E126181C306Bcb2E,1,0.610004,0.007637,0,0.609512,0.107142,0.093874,0.341013,0.497241,6,1,2
0x5b8B87331E484afb35138DA956aa30Be26c1f22F,1,0.618529,0.251775,0.1699,0.671125,0.789029,0.518025,0.171332,0.689007,187,5,1
0x4Dbe6Edc37e765a4Cde20020799db5632096cCa1,1,0.6,0,0,0.553046,0.333333,0.086924,0.260355,0.518776,25,0,1
0xdE2e52AA72C8e6C60dB7854fDd2Cc52FE2905031,1,0.549981,0.135081,0.124456,0.695971,0.68944,0.102172,0.025915,0.574161,111,9,1
0x51A310d4e28d629a903980f86824B37b144f2546,1,0.6,0,0,0.335173,0.056603,0.000999,0.003984,0.452046,3,0,1
0x980B8fd0Bd8b2406Db163a9E5ca83d6ba2C58d61,1,0.464372,0.080561,0.127425,0.620452,0.038461,0.073902,0,0.386858,2,1,0
0x78dA4eFC1416B689cf880CF004fdb58f896B8491,1,0.655604,0.046198,0,0.572698,0.576271,0.847234,0.959551,0.653014,68,1,1
0xc73E72DA39D7DC3a41faF8e6A9F51393bE9aab3A,1,0.6,0,0,0.285493,0.056603,0.487337,0.78782,0.43809,3,0,1
0xE6f3Af59A2cA82aFcC242c1173Ad9a120D9B0026,1,0.744666,0.145279,0,0.6139,0.382716,0.659121,0.669284,0.724158,31,1,1
0xbe1B2db106CD4D2644f59D8EF6d5C0c4DaA374f8,1,0.6,0,0,0.18621,0.038461,0.019415,0,0.426798,2,0,0
0x9bC1A086DF97eBE5ae4eafb496b92cDfe13a0292,1,0.988156,0.907682,0,0.819834,0.759615,0.999279,0.77726,0.979468,158,8,1
0x935CF12eb34d6A8B2bF76cF6f989b914cb7aCD45,1,0.6,0,0,0.169716,0.019607,0.005964,0.029126,0.416416,1,0,1
0xb938ef5ecbeCB592B111b1A1b91f252480E2193b,1,0.33315,0.731172,0.759402,0.831045,0.315068,0.988568,0,0.393392,23,5,0
0xb46a9c485b03a4028e4Eb7E593c3bdAd52fBe0db,1,0.6,0,0,0.095204,0.038461,0.090743,0,0.421692,2,0,0
0x04515f25B287b931a88CFa541163697bED0F8d77,1,0.6,0,0,0.29843,0.712643,0.11801,0.222999,0.53944,124,0,1
0x55A663C01b12D8f8B9f1A6098e41C9d69722bE60,1,0.65679,0.047293,0,0.756102,0.107142,0.034935,0.076526,0.586627,6,2,1
0x741b8C1eED6a6E4cd485f81cca148dC3731290d6,1,0.624489,0.019189,0,0.630344,0.603174,0.074074,0.010406,0.617258,76,1,1
0xB746c9CDE7E8D0420E2e481DB627D38f4cd17e7C,1,0.764212,0.172823,0,0.232728,0.473684,0.293485,0,0.712441,45,1,0
0x76b2Bb82D1464FF57D5314606576417c02dAd3C6,1,0.6,0,0,0.529952,0.019607,0.374921,0.749937,0.462002,1,0,1
0xBC85afDD1fA756095689bfDC166dEe43AE4C0b22,1,0.6,0,0,0.572903,0.166666,0.22009,0.565972,0.486678,10,0,1
0x7a76ca75B09970D490c8061587A49a4703b1FE7A,1,0.6,0,0,0.568908,0.206349,0.844657,0.964537,0.545628,13,0,1
0x74830D0147f64A729cDE7e6e8dCe108ba3E21dF4,1,0.814494,0.257544,0,0.280569,0.193548,0.334309,0,0.751104,12,1,0
0xa86F48806ED300bCFCe5D056cf8D81Efbe55580b,1,0.6,0,0,0.870687,0.074074,0,0.001996,0.548132,4,0,2
0xABfF5137613318575B40045359A61023Af265F92,1,0.6,0,0,0.342372,0.230769,0.80905,0.954952,0.505392,15,0,1
0xc9cD150C362f4c10460677BF2CF294F2354d6484,1,0.937472,0.618196,0,0.855415,0.629629,0.980298,0,0.964134,85,5,0
0x32CBB641fEE5Bfe6c26A6EeBFbcEC96fe36aF2c4,1,0.6,0,0,0.726849,0.206349,0.840789,0.923336,0.576333,13,0,1
0x6D0effB6f0783Da1fCBfB0146179AA0b41814e4a,1,0.6,0,0,0.473127,0.090909,0.293086,0.673095,0.458185,5,0,1
0x49C45b4dB0e663C58e92016a7D4db78dE0e1e26f,1,0.963381,0.748555,0,0.83988,0.90403,0.996334,0.277257,0.976317,471,12,1
0xDA33E6230ecB4872d7f073cfc704B8279e18fAB3,1,0.969953,0.786954,0,0.749088,0.944506,0.999376,0,0.980179,851,9,0
0x464d3B538A46DC6E560E8aF949317e1710d6c2Cb,1,0.6,0,0,0.494399,0.019607,0.061209,0.245852,0.459149,1,0,1
0x6E1ac8d73BbB47A95AA49cB04819A70bB8A374Ba,1,0.956401,0.710345,0,0.6171,0.96249,0.980786,0,0.973168,1283,3,0
0x34b4EB50932ca095aaCAE07A2cAfA47A350A90E4,1,0.6,0,0,0.124949,0.137931,0.067164,0.255398,0.412986,8,0,1
0x9ad3aa178457E7038C68f57349e866CC9eE4e05a,1,0.452262,0.089252,0.140399,0.161466,0.090909,0.075614,0.218139,0.292498,5,1,1
0x2b04E1B0Bd631b7c90652E6A81E8813de8dF46d7,1,0.6,0,0,0.8562,0.038461,0.001796,0.008919,0.539896,2,0,2
0x519aD3E42AFa2009FE7d516193fe8b90a22e9532,1,0.878127,0.406399,0,0.289454,0.152542,0.787161,0.589752,0.834102,9,1,1
0xD211b268fc17556C0cF8540938CE5C61f0E18E90,1,0.6,0,0,0.186133,0.796747,0.98239,0.806763,0.602302,196,0,1
0x2C1c2Fd3e3BD8d346426d0972267FA605D143d68,1,0.6,0,0,0.792363,0.107142,0.31945,0.648999,0.522736,6,0,2
0x94599741aAda66A4687c4a533f4B91C208B5Db4b,1,0.706253,0.097892,0,0.742918,0.230769,0.719037,0.476975,0.708011,15,1,2
0xC779beaB0b66743274c7FFE8fdcf926Ad27E2C1C,1,0.6,0,0,0.355138,0.038461,0.001597,0,0.453295,2,0,0
0x402D8EA8f7ea89278A2C75b7E6C0C2BdF1C0d743,1,0.846555,0.325254,0,0.389802,0.21875,0.325327,0.356752,0.782142,14,3,2
0x5439ca6b34985aD93046b0D7ad289780769F7569,1,0.14583,0.483018,0.608943,0.747648,0.275362,0.666511,0.230177,0.222654,19,2,1
0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,1,0.266917,0.273515,0.385197,0.84977,0.253731,0.324141,0,0.306678,17,2,0
0x277E47845E16ce59966e7dCb043ca107488cb014,1,0.515547,0.827148,0.796167,0.792134,0.913644,0.989606,0.484343,0.540791,529,20,2
0x7975562AE802d2887C2EE68224f0677446BDee63,1,0.828557,0.285686,0,0.521199,0.367088,0.855068,0.677671,0.81988,29,1,1
0x3dF71d46F65f4C5577bF6B9d2B524d13A61D6248,1,0.6,0,0,0.07981,0.038461,0.599935,0.882325,0.407569,2,0,2
0xFfBC80FF1aa3c834e84Bc40dEbBb6FC4EA0eAc97,1,0.6,0,0,0.380621,0.122807,0.603552,0.88395,0.472197,7,0,2
0x95E54CcAfe8f4b26780Fba976d68259510ab72A4,1,0.6,0,0,0.504905,0.166666,0.154119,0.467234,0.474775,10,0,1
0x86198b06e4B9212A147fe4D8206D67d94C6ebdbd,1,0.663713,0.053781,0,0.653599,0.324324,0.049429,0.060143,0.611404,24,2,1
0x6Fb660Af10f2F3e0b98Db5D78FC0459E8BB9f9d1,1,0.6,0,0,0.374022,0.090909,0.456403,0.761848,0.456477,5,0,1
0xe4fb0e55D645cE44497D42C662B1fe26F1b20Ea6,1,0.6,0,0,0.605349,0.166666,0.135247,0.330655,0.503157,10,0,1
0x909112fE83BeC22CA1904947606f175192C9757c,1,0.6,0,0,0.73576,0.019607,0.390169,0.761848,0.49904,1,0,1
0x49519953C86ebbdaFd3f6DE43E9d37665Cddb294,1,0.582888,0.008729,0.014465,0.844113,0.090909,0.000999,0.000999,0.531036,5,1,1
0x4BC1d23C5208cAC48C57bbeDC529dB1Ccf2c5AD1,1,0.6,0,0,0.246729,0.090909,0.021143,0.095022,0.43584,5,0,1
0xb7e2371628B7F12e9b68429b1208f781225f0878,1,0.511819,0.134529,0.145709,0.649118,0.166666,0.106504,0,0.454398,10,2,0
0xF19a459b18db814BBE4a0BeB3fB0f1DD6De9ef8D,1,0.6,0,0,0.484263,0.019607,0.009704,0.046711,0.46951,1,0,1
0xC154FB2dA848A650f46d45d4c0a4fE93709b9995,1,0.6,0,0,0.716127,0.230769,0.936379,0.986595,0.585874,15,0,1
0xCCb4942E6BA5Ad22B94e7298257999d77acbF5Bc,1,0.346014,0.749457,0.772079,0.72337,0.253731,0.949047,0,0.367448,17,3,0
0x6792c4bDc1b45EfA131ecCa985A28EF5c4622E48,1,0.416995,0.577088,0.586334,0.876405,0.810606,0.993573,0.676631,0.502044,214,10,1
0xc16194b63f2949eC94E085B304caB3Fbaa38eaea,1,0.6,0,0,0.564271,0.137931,0.414656,0.780171,0.488621,8,0,1
0xAb1a6107419964dF5502EF550AA05f92f0cE9C65,1,0.6,0,0,0.458882,0.019607,0.002394,0.011857,0.467466,1,0,1
0x0699F5caD1dCD69725a342D4e9447e5E8144b70E,1,0.60967,0.007377,0,0.755732,0.206349,0.693589,0.915709,0.569425,13,1,1
0xdee2Cd63Da94dc04Fc7136816A0b196DEdDbFaBA,1,0.6,0,0,0.021282,0.019607,0.705865,0.923071,0.406357,1,0,1
0x4763CcbA2279AFeB01d103213be493A20e54F3F7,1,0.558249,0.75688,0.698156,0.75362,0.98,0.96639,0.069566,0.640346,2450,13,1
